2009:01:20 18:45:41 -160,61883 002073,99378
2009:01:20 18:45:41 -172,22203 002073,99378
2009:01:20 18:45:41 -158,40229 003137,64158
2009:01:20 18:45:41 -171,63679 003137,64158
2009:01:20 18:45:41 -149,08672 012677,22806
2009:01:20 18:45:41 -169,98162 012677,22806
2009:01:20 18:45:41 -145,64642 013020,50248
2009:01:20 18:45:41 -168,66116 013020,50248
2009:01:20 18:45:42 -132,78588 014156,23806
2009:01:20 18:45:42 -160,44902 014156,23806
2009:01:20 18:45:42 -130,43103 019827,38123
2009:01:20 18:45:42 -160,25928 019827,38123
2009:01:20 18:45:42 -123,76936 020027,83554
2009:01:20 18:45:42 -151,49951 020027,83554
2009:01:20 18:45:42 -122,65869 022318,35619
2009:01:20 18:45:42 -147,66248 022318,35619
2009:01:20 18:45:43 -106,35728 027950,98022
2009:01:20 18:45:43 -144,41899 027950,98022
2009:01:20 18:45:43 -101,96995 031559,33027
2009:01:20 18:45:43 -143,12357 031559,33027
2009:01:20 18:45:43 -097,41996 033130,63629
2009:01:20 18:45:43 -141,49113 033130,63629
2009:01:20 18:45:43 -095,65905 033251,08443
2009:01:20 18:45:43 -141,06335 033251,08443
2009:01:20 18:45:44 -079,74885 040161,45847
2009:01:20 18:45:44 -140,73643 040161,45847
2009:01:20 18:45:44 -070,15093 043908,52239
2009:01:20 18:45:44 -139,91838 043908,52239
2009:01:20 18:45:44 -062,15323 045176,36368
2009:01:20 18:45:44 -130,49729 045176,36368
2009:01:20 18:45:44 -054,71926 045760,19097
2009:01:20 18:45:44 -126,54388 045760,19097
2009:01:20 18:45:45 -053,57292 047068,03580
2009:01:20 18:45:45 -123,19309 047068,03580
2009:01:20 18:45:45 -052,42027 048961,57863
2009:01:20 18:45:45 -122,56302 048961,57863
2009:01:20 18:45:45 -045,39895 049817,33860
2009:01:20 18:45:45 -116,11508 049817,33860
2009:01:20 18:45:45 -037,39728 052310,07115
2009:01:20 18:45:45 -109,33271 052310,07115
2009:01:20 18:45:46 -033,89788 053037,61001
2009:01:20 18:45:46 -104,38498 053037,61001
2009:01:20 18:45:46 -032,31719 056093,42031
2009:01:20 18:45:46 -103,36198 056093,42031
2009:01:20 18:45:46 -024,75952 060593,09403
2009:01:20 18:45:46 -100,22490 060593,09403
2009:01:20 18:45:46 -018,32103 063399,92492
2009:01:20 18:45:46 -098,44621 063399,92492
2009:01:20 18:45:47 -014,07572 066818,42651
2009:01:20 18:45:47 -092,45320 066818,42651
2009:01:20 18:45:47 -012,09797 067381,28187
2009:01:20 18:45:47 -091,04607 067381,28187
2009:01:20 18:45:47 -006,03988 069778,48498
2009:01:20 18:45:47 -082,49981 069778,48498
2009:01:20 18:45:47 -004,11911 070489,96039
2009:01:20 18:45:47 -075,48274 070489,96039
2009:01:20 18:45:48 -001,62086 071744,79089
2009:01:20 18:45:48 -064,23355 071744,79089
2009:01:20 18:45:48 -000,70697 072153,99265
2009:01:20 18:45:48 -056,59403 072153,99265
2009:01:20 18:45:48 001,72489 074133,08309
2009:01:20 18:45:48 -054,77518 074133,08309
2009:01:20 18:45:48 002,03649 076846,03283
2009:01:20 18:45:48 -048,54335 076846,03283
2009:01:20 18:45:49 008,57607 079425,20865
2009:01:20 18:45:49 -046,40395 079425,20865
2009:01:20 18:45:49 008,88404 079677,23668
2009:01:20 18:45:49 -041,67009 079677,23668
2009:01:20 18:45:49 011,78981 081017,55120
2009:01:20 18:45:49 -038,40048 081017,55120
2009:01:20 18:45:49 019,40305 082598,91546
2009:01:20 18:45:49 -036,94091 082598,91546
2009:01:20 18:45:50 029,78870 086367,35010
2009:01:20 18:45:50 -033,77131 086367,35010
2009:01:20 18:45:50 037,19534 086694,57223
2009:01:20 18:45:50 -024,40365 086694,57223
2009:01:20 18:45:50 037,83481 086825,34009
2009:01:20 18:45:50 -007,12771 086825,34009
2009:01:20 18:45:50 050,62215 086996,45025
2009:01:20 18:45:50 -006,82659 086996,45025
2009:01:20 18:45:51 050,64124 087649,42904
2009:01:20 18:45:51 -002,89833 087649,42904
2009:01:20 18:45:51 051,06463 088167,59532
2009:01:20 18:45:51 006,12255 088167,59532
2009:01:20 18:45:51 062,35055 089464,99363
2009:01:20 18:45:51 020,20411 089464,99363
2009:01:20 18:45:51 062,84524 090999,80410
2009:01:20 18:45:51 025,93041 090999,80410
2009:01:20 18:45:52 063,18736 094503,71035
2009:01:20 18:45:52 026,43155 094503,71035
2009:01:20 18:45:52 063,82482 094579,60636
2009:01:20 18:45:52 040,60940 094579,60636
2009:01:20 18:45:52 065,88382 097864,46330
2009:01:20 18:45:52 043,44874 097864,46330
2009:01:20 18:45:52 066,62568 098392,64669
2009:01:20 18:45:52 044,30693 098392,64669
2009:01:20 18:45:53 075,67882 099054,71727
2009:01:20 18:45:53 068,15590 099054,71727
2009:01:20 18:45:53 075,86362 099288,81221
2009:01:20 18:45:53 070,81502 099288,81221
